timestamp,gateway_address,node_address,is_alive,success_rate_30s,success_rate_total,pdr_downlink,pdr_uplink,rssi_node_dbm,rssi_gw_dbm,avg_latency_edge_ms,avg_latency_cloud_ms,last_latency_edge_ms,last_latency_cloud_ms
2025-09-11T17:38:34.353592,0x24374C76B5CF8604,0x7AB893A1407FC78B,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:34.353592,0x24374C76B5CF8604,0x18AEAF2D1A44956C,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:34.353592,0x24374C76B5CF8604,0x7DE4C0586D06974B,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:34.353592,0x24374C76B5CF8604,0x83C6ECAC460B23F3,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:35.372112,0x24374C76B5CF8604,0x7AB893A1407FC78B,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:35.372112,0x24374C76B5CF8604,0x18AEAF2D1A44956C,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:35.372112,0x24374C76B5CF8604,0x7DE4C0586D06974B,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:35.372112,0x24374C76B5CF8604,0x83C6ECAC460B23F3,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:35.372112,0x24374C76B5CF8604,0xBCB2E712F6D078E2,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:35.372112,0x24374C76B5CF8604,0x4FB05AEE6FCA046D,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:35.372112,0x24374C76B5CF8604,0x258B330DDDAFDE9C,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:35.372112,0x24374C76B5CF8604,0xE465587BB61A99A9,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:35.372112,0x24374C76B5CF8604,0xF1B028C6B39693A5,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:35.372112,0x24374C76B5CF8604,0xFDB6CC02C854CF1E,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:35.372112,0x24374C76B5CF8604,0x0A833E78880C6DC5,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:35.372112,0x24374C76B5CF8604,0x15D5017AA3800F1E,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x7AB893A1407FC78B,True,100.00%,100.00%,0.00%,0.00%,-28,-34,172.49,172.49,172.49,172.49
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x18AEAF2D1A44956C,True,100.00%,100.00%,0.00%,0.00%,-28,-40,130.89,130.89,130.89,130.89
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x7DE4C0586D06974B,True,100.00%,100.00%,0.00%,0.00%,-34,-47,360.45,360.45,360.45,360.45
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x83C6ECAC460B23F3,True,100.00%,100.00%,0.00%,0.00%,-32,-41,54.99,54.99,54.99,54.99
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0xBCB2E712F6D078E2,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x4FB05AEE6FCA046D,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x258B330DDDAFDE9C,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0xE465587BB61A99A9,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0xF1B028C6B39693A5,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0xFDB6CC02C854CF1E,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x0A833E78880C6DC5,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x15D5017AA3800F1E,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x8C3BDCC588440DCA,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x9AB59A717BC7F74D,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x038C701874C52B20,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0xA95D8A2DF55E6C44,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0xDCE0471FD437E359,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x9579960F203ADE95,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0xC82CA0F38D2A15E9,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x0C9A20E2E5E6F54C,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0xECC4E0DBD527FC99,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x3EF06E4B72E98CCD,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x93B9409637347BA4,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x44E5B4534F8DBC91,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0xDBD14A8C2AB0CE32,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x55DA7FF0F238A844,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0x588D2578218A459B,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
2025-09-11T17:38:36.392593,0x24374C76B5CF8604,0xE26E0464A4FE9291,True,100.00%,100.00%,0.00%,0.00%,,,0.00,0.00,0.00,0.00
