timestamp,gateway_address,schedule_id,connected_nodes,tx_total,rx_total,tx_rate_1s,rx_rate_1s,avg_latency_ms
2025-09-05T17:53:33.590233,0x24374C76B5CF8604,6,8,0,0,0,0,0.00
2025-09-05T17:53:35.601531,0x24374C76B5CF8604,6,10,0,0,0,0,32.16
2025-09-05T17:53:37.688084,0x24374C76B5CF8604,6,10,0,0,0,0,32.99
2025-09-05T17:53:39.805525,0x24374C76B5CF8604,6,10,0,0,0,0,32.51
2025-09-05T17:53:41.823770,0x24374C76B5CF8604,6,10,0,0,0,0,33.31
2025-09-05T17:53:43.829727,0x24374C76B5CF8604,6,10,0,0,0,0,31.22
2025-09-05T17:53:45.856345,0x24374C76B5CF8604,6,10,0,0,0,0,31.45
2025-09-05T17:53:47.885857,0x24374C76B5CF8604,6,10,0,0,0,0,32.12
2025-09-05T17:53:49.902469,0x24374C76B5CF8604,6,10,0,0,0,0,31.94
2025-09-05T17:53:51.931162,0x24374C76B5CF8604,6,10,0,0,0,0,33.49
2025-09-05T17:53:53.967520,0x24374C76B5CF8604,6,10,0,0,0,0,32.71
2025-09-05T17:53:56.021515,0x24374C76B5CF8604,6,10,0,0,0,0,32.74
2025-09-05T17:53:58.055004,0x24374C76B5CF8604,6,10,0,0,0,0,31.37
2025-09-05T17:54:00.084056,0x24374C76B5CF8604,6,10,0,0,0,0,31.92
2025-09-05T17:54:02.122767,0x24374C76B5CF8604,6,10,0,0,0,0,31.16
2025-09-05T17:54:04.172841,0x24374C76B5CF8604,6,10,0,0,0,0,31.08
2025-09-05T17:54:06.220172,0x24374C76B5CF8604,6,10,0,0,0,0,33.43
2025-09-05T17:54:08.250028,0x24374C76B5CF8604,6,10,0,0,0,0,34.23
2025-09-05T17:54:10.295182,0x24374C76B5CF8604,6,10,0,0,0,0,35.15
2025-09-05T17:54:12.333238,0x24374C76B5CF8604,6,10,0,0,0,0,35.82
2025-09-05T17:54:14.377796,0x24374C76B5CF8604,6,10,0,0,0,0,35.02
2025-09-05T17:54:16.417331,0x24374C76B5CF8604,6,10,0,0,0,0,34.38
2025-09-05T17:54:18.450159,0x24374C76B5CF8604,6,10,0,0,0,0,34.91
2025-09-05T17:54:20.503850,0x24374C76B5CF8604,6,10,0,0,0,0,33.03
2025-09-05T17:54:22.541311,0x24374C76B5CF8604,6,10,0,0,0,0,32.62
2025-09-05T17:54:24.593168,0x24374C76B5CF8604,6,10,0,0,0,0,33.50
2025-09-05T17:54:26.644292,0x24374C76B5CF8604,6,10,0,0,0,0,33.60
