timestamp,gateway_address,schedule_id,connected_nodes,tx_total,rx_total,tx_rate_1s,rx_rate_1s,avg_latency_ms
2025-09-05T15:31:35.011742,0x24374C76B5CF8604,3,9,0,0,0,0,0.00
2025-09-05T15:31:37.142045,0x24374C76B5CF8604,3,57,0,0,0,0,120.87
2025-09-05T15:31:39.268826,0x24374C76B5CF8604,3,66,0,0,0,0,133.28
2025-09-05T15:31:41.351417,0x24374C76B5CF8604,3,66,0,0,0,0,119.89
2025-09-05T15:31:43.470208,0x24374C76B5CF8604,3,66,0,0,0,0,141.20
2025-09-05T15:31:45.483393,0x24374C76B5CF8604,3,66,0,0,0,0,119.25
2025-09-05T15:31:47.617787,0x24374C76B5CF8604,3,66,0,0,0,0,114.19
2025-09-05T15:31:49.775790,0x24374C76B5CF8604,3,66,0,0,0,0,113.79
2025-09-05T15:31:51.917112,0x24374C76B5CF8604,3,66,0,0,0,0,148.15
2025-09-05T15:31:54.050194,0x24374C76B5CF8604,3,66,0,0,0,0,136.79
2025-09-05T15:31:56.188031,0x24374C76B5CF8604,3,66,0,0,0,0,141.53
2025-09-05T15:31:58.344514,0x24374C76B5CF8604,3,66,0,0,0,0,104.47
2025-09-05T15:32:00.490606,0x24374C76B5CF8604,3,66,0,0,0,0,127.73
2025-09-05T15:32:02.639568,0x24374C76B5CF8604,3,66,0,0,0,0,159.52
2025-09-05T15:32:04.643233,0x24374C76B5CF8604,3,66,0,0,0,0,110.05
2025-09-05T15:32:06.712134,0x24374C76B5CF8604,3,66,0,0,0,0,118.70
2025-09-05T15:32:08.857051,0x24374C76B5CF8604,3,66,0,0,0,0,161.29
2025-09-05T15:32:10.865326,0x24374C76B5CF8604,3,66,0,0,0,0,111.31
2025-09-05T15:32:12.912423,0x24374C76B5CF8604,3,66,0,0,0,0,148.26
2025-09-05T15:32:15.068309,0x24374C76B5CF8604,3,66,0,0,0,0,157.33
2025-09-05T15:32:17.202540,0x24374C76B5CF8604,3,67,0,0,0,0,152.77
2025-09-05T15:32:19.331956,0x24374C76B5CF8604,3,67,0,0,0,0,138.66
2025-09-05T15:32:21.346404,0x24374C76B5CF8604,3,63,0,0,0,0,115.14
2025-09-05T15:32:23.410998,0x24374C76B5CF8604,3,66,0,0,0,0,150.55
2025-09-05T15:32:25.570466,0x24374C76B5CF8604,3,67,0,0,0,0,151.51
2025-09-05T15:32:27.717183,0x24374C76B5CF8604,3,67,0,0,0,0,128.64
2025-09-05T15:32:29.731688,0x24374C76B5CF8604,3,66,0,0,0,0,143.50
